54,4,1713.15,518.33,184.86,115.98,0.83,-1,-1,-1
54,3,1378.33,502.16,222.04,79.83,0.86,-1,-1,-1
54,1,1334.32,552.77,438.56,236.52,0.83,-1,-1,-1
55,4,1680.99,515.73,192.19,108.70,0.87,-1,-1,-1
55,3,1366.40,500.61,215.85,77.56,0.88,-1,-1,-1
55,1,1335.55,553.33,439.58,236.68,0.88,-1,-1,-1
56,4,1645.22,512.82,193.66,103.37,0.88,-1,-1,-1
56,3,1354.46,498.70,209.98,75.55,0.87,-1,-1,-1
56,1,1336.94,554.44,440.57,236.44,0.89,-1,-1,-1
57,4,1613.47,510.24,192.97,97.99,0.88,-1,-1,-1
57,3,1343.47,496.79,203.95,73.92,0.87,-1,-1,-1
57,1,1337.60,553.86,441.70,237.26,0.90,-1,-1,-1
58,4,1584.74,508.66,189.95,91.91,0.87,-1,-1,-1
58,3,1332.24,495.62,197.60,72.28,0.88,-1,-1,-1
58,1,1338.77,553.77,442.59,238.39,0.89,-1,-1,-1
59,4,1556.85,506.72,185.13,87.40,0.79,-1,-1,-1
59,3,1320.03,494.02,192.30,70.32,0.88,-1,-1,-1
59,1,1339.50,553.34,443.57,239.00,0.90,-1,-1,-1
60,4,1528.80,503.47,175.56,83.14,0.85,-1,-1,-1
60,3,1309.21,492.81,187.02,67.46,0.87,-1,-1,-1
60,1,1339.68,552.31,444.15,239.99,0.89,-1,-1,-1
61,4,1505.08,500.36,169.95,80.15,0.75,-1,-1,-1
61,3,1298.45,491.42,182.25,64.98,0.89,-1,-1,-1
61,1,1339.30,552.12,445.32,241.17,0.89,-1,-1,-1
62,4,1482.15,498.54,163.31,76.45,0.84,-1,-1,-1
62,3,1289.11,489.74,176.52,62.98,0.88,-1,-1,-1
62,1,1337.75,546.93,447.50,245.38,0.87,-1,-1,-1
63,4,1458.32,497.12,154.07,73.66,0.52,-1,-1,-1
63,3,1279.07,488.95,171.43,60.93,0.89,-1,-1,-1
63,1,1337.01,544.71,449.35,247.79,0.88,-1,-1,-1
64,3,1268.82,487.53,166.85,59.17,0.88,-1,-1,-1
64,1,1337.31,544.17,450.12,248.76,0.88,-1,-1,-1
65,3,1259.31,486.61,161.84,56.96,0.88,-1,-1,-1
65,1,1336.97,545.75,451.44,248.55,0.88,-1,-1,-1
66,3,1250.00,485.51,157.50,55.62,0.88,-1,-1,-1
66,1,1336.77,546.16,452.50,248.22,0.86,-1,-1,-1
67,3,1241.71,484.51,153.12,54.35,0.87,-1,-1,-1
67,1,1337.18,547.25,452.86,247.28,0.85,-1,-1,-1
68,4,1371.45,484.97,124.27,59.32,0.56,-1,-1,-1
68,3,1233.37,483.14,148.96,53.59,0.88,-1,-1,-1
68,1,1337.11,548.03,453.06,246.34,0.84,-1,-1,-1
69,4,1356.18,483.69,116.94,56.42,0.71,-1,-1,-1
69,3,1225.72,481.65,144.57,52.65,0.88,-1,-1,-1
69,1,1337.02,548.12,453.18,245.77,0.86,-1,-1,-1
70,4,1340.86,480.89,109.37,54.67,0.63,-1,-1,-1
70,3,1217.44,480.37,141.22,51.87,0.88,-1,-1,-1
70,1,1337.51,548.70,452.69,245.00,0.87,-1,-1,-1
71,4,1326.71,478.85,102.83,52.89,0.46,-1,-1,-1
71,3,1209.18,479.09,137.39,51.00,0.90,-1,-1,-1
71,1,1337.03,548.96,452.82,244.51,0.85,-1,-1,-1
72,4,1308.71,476.65,100.09,51.41,0.71,-1,-1,-1
72,3,1201.47,478.07,133.79,50.25,0.89,-1,-1,-1
72,1,1336.54,548.19,453.16,244.88,0.82,-1,-1,-1
73,4,1297.71,473.63,94.69,50.93,0.46,-1,-1,-1
